cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed,tests_failed_count,tests_ignored_count,tests_total_count,tests_total_duration
degblogr00-0155.springer-sbm.com,48,110,Failed,53,0.53,1,2011-06-14T19:49:24+01:00,2011-06-14T19:49:35+01:00,2011-06-14T19:49:45+01:00,2011-06-14T19:49:45+01:00,2011-06-14T19:50:34+01:00,2011-06-14T19:50:34+01:00,0,0,9,0.000
degblogr00-0155.springer-sbm.com,78,111,Passed,54,0.54,1,2011-06-14T19:53:24+01:00,2011-06-14T19:53:34+01:00,2011-06-14T19:53:44+01:00,2011-06-14T19:53:45+01:00,2011-06-14T19:54:46+01:00,2011-06-14T19:55:04+01:00,0,0,27,0.000
degblogr00-0155.springer-sbm.com,78,114,Passed,55,0.55,1,2011-06-15T11:38:26+01:00,2011-06-15T11:38:28+01:00,2011-06-15T11:38:39+01:00,2011-06-15T11:38:39+01:00,2011-06-15T11:39:40+01:00,2011-06-15T11:39:58+01:00,0,0,27,0.000
degblogr00-0155.springer-sbm.com,78,117,Passed,56,0.56,1,2011-06-15T13:14:26+01:00,2011-06-15T13:14:37+01:00,2011-06-15T13:14:47+01:00,2011-06-15T13:14:48+01:00,2011-06-15T13:15:47+01:00,2011-06-15T13:16:06+01:00,0,0,27,0.000
degblogr00-0155.springer-sbm.com,79,119,Passed,57,0.57,1,2011-06-15T13:39:25+01:00,2011-06-15T13:39:30+01:00,2011-06-15T13:39:40+01:00,2011-06-15T13:39:41+01:00,2011-06-15T13:40:42+01:00,2011-06-15T13:41:00+01:00,0,0,27,0.000
degblogr00-0155.springer-sbm.com,78,121,Passed,58,0.58,1,2011-06-15T14:09:26+01:00,2011-06-15T14:09:30+01:00,2011-06-15T14:09:40+01:00,2011-06-15T14:09:41+01:00,2011-06-15T14:10:40+01:00,2011-06-15T14:10:59+01:00,0,0,27,0.000
degblogr00-0155.springer-sbm.com,83,123,Passed,59,0.59,1,2011-06-15T19:40:26+01:00,2011-06-15T19:40:38+01:00,2011-06-15T19:40:48+01:00,2011-06-15T19:40:49+01:00,2011-06-15T19:41:54+01:00,2011-06-15T19:42:12+01:00,0,0,27,0.000
degblogr00-0155.springer-sbm.com,78,125,Passed,60,0.60,1,2011-06-15T19:46:26+01:00,2011-06-15T19:46:36+01:00,2011-06-15T19:46:47+01:00,2011-06-15T19:46:47+01:00,2011-06-15T19:47:47+01:00,2011-06-15T19:48:06+01:00,0,0,28,0.000
degblogr00-0155.springer-sbm.com,81,128,Passed,61,0.61,1,2011-06-16T13:47:28+01:00,2011-06-16T13:47:31+01:00,2011-06-16T13:47:41+01:00,2011-06-16T13:47:42+01:00,2011-06-16T13:48:45+01:00,2011-06-16T13:49:03+01:00,0,0,29,0.000
degblogr00-0155.springer-sbm.com,79,130,Passed,62,0.62,1,2011-06-16T14:39:28+01:00,2011-06-16T14:39:37+01:00,2011-06-16T14:39:47+01:00,2011-06-16T14:39:48+01:00,2011-06-16T14:40:49+01:00,2011-06-16T14:41:08+01:00,0,0,30,0.000
